City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
87,Yar-Sale,RU,2020-04-17 19:29:48,66.83,70.83,36.77,98,100,19.39,overcast clouds,0.000,0
88,Holme,DK,2020-04-17 19:29:48,56.11,10.17,44.6,48,39,3.36,scattered clouds,0.000,0
89,Butaritari,KI,2020-04-17 19:29:48,3.07,172.79,82.4,80,89,15.9,light rain,0.880,0
90,Qaanaaq,GL,2020-04-17 19:29:49,77.48,-69.36,21.31,85,14,3.58,few clouds,0.000,0
91,Murliganj,IN,2020-04-17 19:29:50,25.9,86.98,84.51,42,32,11.27,scattered clouds,0.000,0
92,Axim,GH,2020-04-17 19:29:51,4.87,-2.24,82.69,82,96,11.54,light rain,2.400,0
93,Lower Burrell,US,2020-04-17 19:25:16,40.55,-79.76,48.99,78,98,1.01,light rain,0.550,0
94,Barao De Melgaco,BR,2020-04-17 19:29:52,-16.19,-55.97,87.8,48,20,8.05,few clouds,0.000,0
95,Cabo San Lucas,MX,2020-04-17 19:26:52,22.89,-109.91,82.99,56,5,19.46,clear sky,0.000,0
96,Glubokiy,RU,2020-04-17 19:29:56,48.52,40.33,51.28,48,79,8.95,broken clouds,0.000,0
97,Tabuk,PH,2020-04-17 19:29:56,17.42,121.44,73.65,82,99,4.0,overcast clouds,0.000,0
98,Auki,SB,2020-04-17 19:29:59,-8.77,160.7,80.87,75,59,1.1,moderate rain,3.530,0
99,Mar Del Plata,AR,2020-04-17 19:28:08,-38.0,-57.56,72.0,53,31,12.75,scattered clouds,0.000,0
100,Nikolskoye,RU,2020-04-17 19:30:01,59.7,30.79,37.4,89,90,17.9,light intensity shower rain,0.000,0
101,Carutapera,BR,2020-04-17 19:30:02,-1.2,-46.02,79.36,81,100,6.64,moderate rain,3.990,0
102,Iqaluit,CA,2020-04-17 19:30:03,63.75,-68.51,10.4,66,75,3.36,broken clouds,0.000,0
103,Gunnedah,AU,2020-04-17 19:30:04,-30.98,150.25,44.6,93,100,3.71,overcast clouds,0.000,0
104,Dumingag,PH,2020-04-17 19:30:07,8.17,123.35,75.38,84,8,1.48,clear sky,0.000,0
105,Rezekne,LV,2020-04-17 19:30:09,56.5,27.32,33.3,85,50,11.7,scattered clouds,0.000,0
106,Shakawe,BW,2020-04-17 19:30:10,-18.37,21.85,75.0,36,58,4.72,broken clouds,0.000,0
107,Miraflores,MX,2020-04-17 19:30:12,19.22,-98.81,80.6,26,40,4.7,scattered clouds,0.000,0
